AIRPORT_ID,LATITUDE,LONGITUDE
10118,-17.35388889,-145.5097222
10118,-17.3525,-145.51
10119,-26.7,141.0416667
10120,31.07638889,33.83333333
10120,31.07333333,33.83583333
10121,36.82166667,7.81
10121,36.82222222,7.80944444
10122,29.7275,-85.0275
10122,29.7275,-85.0275
10123,50.82305556,6.18611111
10123,50.82305556,6.18611111
10123,50.82305556,6.1875
10124,-12.91666667,-46.93333333
10124,-13.025,-46.88416667
10124,-13.02583333,-46.88361111
10125,57.09305556,9.85
10125,57.09277778,9.84916667
10126,-24.80833333,31.54166667
10126,-24.81694444,31.54416667
10127,24.26166667,55.60916667
10127,24.26194444,55.6075
10128,9.43194444,-64.46388889
10128,9.43027778,-64.47083333
10128,9.43,-64.47083333
10129,44.9,37.31666667
10129,45.00222222,37.34722222
10129,45.00222222,37.34722222
10130,56.31027778,10.61805556
10130,56.30388889,10.62
10130,56.3,10.61888889
10131,-13.51666667,-172.65
10132,-19.56805556,-46.92916667
10132,-19.56333333,-46.96027778
10134,30.36611111,48.23222222
10134,30.36611111,48.23222222
10134,30.36527778,48.23305556
10135,40.65472222,-75.43833333
10135,40.65222222,-75.44027778
10135,40.65222222,-75.44055556
10136,32.40944444,-99.67972222
10136,32.41111111,-99.68166667
10136,32.41138889,-99.68194444
10137,5.25555556,-3.92916667
10137,5.26138889,-3.92583333
10137,5.26138889,-3.92583333
10137,5.26138889,-3.92583333
10138,6.73388889,44.26611111
10138,6.73277778,44.24166667
10138,6.73277778,44.24138889
10139,67.0875,-157.8458333
10140,35.04166667,-106.6063889
10140,35.04027778,-106.6091667
10140,35.03888889,-106.6083333
10141,45.44972222,-98.42166667
10141,45.44916667,-98.42194444
10141,45.44833333,-98.4225
10142,22.37222222,31.61527778
10142,22.37472222,31.60944444
10142,22.37583333,31.61166667
10143,20.29611111,41.63416667
10143,20.29611111,41.63416667
10143,20.29611111,41.63416667
10144,9.00555556,7.26611111
10144,9.00666667,7.26305556
10145,-36.06833333,146.9766667
10145,-36.06777778,146.9580556
10146,31.53222222,-84.19611111
10146,31.53555556,-84.19444444
10147,57.20416667,-2.19861111
10147,57.20194444,-2.19777778
10147,57.2025,-2.19805556
10148,16.75555556,-99.76694444
10148,16.75694444,-99.75388889
10149,44.98472222,-85.19916667
10149,44.98861111,-85.19833333
10150,5.59527778,-0.17083333
10150,5.60444444,-0.1675
10151,28.9425,-13.60472222
10151,28.94555556,-13.60527778
10152,47.48527778,9.56
10152,47.485,9.56
10153,49.70694444,-2.21527778
10153,49.70611111,-2.21472222
10153,49.70666667,-2.21444444
10154,41.25666667,-70.05972222
10154,41.25305556,-70.06027778
10154,41.25305556,-70.06
10155,31.61138889,-97.22861111
10155,31.61222222,-97.23027778
10156,8.43333333,-77.96666667
10157,40.97916667,-124.1075
10157,40.97805556,-124.1086111
10157,40.97777778,-124.1083333
10158,39.45611111,-74.57805556
10158,39.45666667,-74.57777778
10158,39.4575,-74.57805556
10158,39.4575,-74.57722222
10159,36.98361111,35.28083333
10159,36.98222222,35.28027778
10160,38.29472222,27.16
10160,38.29222222,27.15583333
10161,-7.13611111,145.7441667
10161,-7.13638889,145.7438889
10162,8.97805556,38.79944444
10162,8.97805556,38.79944444
10163,12.82777778,45.03055556
10163,12.83444444,45.02888889
10163,12.82944444,45.02888889
10164,31.97222222,35.99
10164,31.97222222,35.99
10164,31.97277778,35.99166667
10165,51.88277778,-176.6447222
10165,51.87805556,-176.6461111
10165,51.87805556,-176.6458333
10165,51.88361111,-176.6425
10166,-34.94833333,138.5347222
10166,-34.945,138.5305556
10167,34.30305556,-97.01972222
10167,34.30416667,-97.02055556
10168,5.66666667,-75.88333333
10168,5.69805556,-75.87972222
10168,5.69777778,-75.88027778
10169,-30.43777778,137.1372222
10170,57.75,-152.4938889
10171,32.96833333,-96.83611111
10171,32.96861111,-96.83638889
10172,38.81083333,-76.86722222
10172,38.81083333,-76.86694444
10172,38.81083333,-76.86694444
10173,56.37277778,-2.86833333
10173,56.37277778,-2.86861111
10174,12.58333333,-81.7
10174,12.58305556,-81.71166667
10174,12.58361111,-81.71138889
10175,24.24833333,54.54777778
10176,58.03333333,-152.9
10177,1.4,99.43055556
10178,13.85138889,20.85083333
10178,13.84694444,20.84361111
